state,district,police_station
ANDAMAN & NICOBAR,NICOBAR,CAMPBELL BAY
ANDAMAN & NICOBAR,NICOBAR,CAR NICOBAR
ANDAMAN & NICOBAR,NICOBAR,KATCHAL
ANDAMAN & NICOBAR,NICOBAR,NANCOWRY
ANDAMAN & NICOBAR,NICOBAR,TREESSA
ANDAMAN & NICOBAR,NORTH & MIDDILE ANDAMAN,BILLIGROUND
ANDAMAN & NICOBAR,NORTH & MIDDILE ANDAMAN,DIGLIPUR
ANDAMAN & NICOBAR,NORTH & MIDDILE ANDAMAN,KALIGHAT
ANDAMAN & NICOBAR,NORTH & MIDDILE ANDAMAN,MAYA BUNDER
ANDAMAN & NICOBAR,NORTH & MIDDILE ANDAMAN,RANGAT
ANDAMAN & NICOBAR,SOUTH ANDAMAN,ABERDEEN
ANDAMAN & NICOBAR,SOUTH ANDAMAN,ANTI-HUMAN TRAFFICKING
ANDAMAN & NICOBAR,SOUTH ANDAMAN,BAMBOOFLAT
ANDAMAN & NICOBAR,SOUTH ANDAMAN,BARATANG
ANDAMAN & NICOBAR,SOUTH ANDAMAN,CHATHAM
ANDAMAN & NICOBAR,SOUTH ANDAMAN,CTL.CRIME STATION
ANDAMAN & NICOBAR,SOUTH ANDAMAN,HAVELOCK
ANDAMAN & NICOBAR,SOUTH ANDAMAN,HUMPHREY GUNJ
ANDAMAN & NICOBAR,SOUTH ANDAMAN,HUT BAY
ANDAMAN & NICOBAR,SOUTH ANDAMAN,KADAMTALA
ANDAMAN & NICOBAR,SOUTH ANDAMAN,NEIL ISLAND
ANDAMAN & NICOBAR,SOUTH ANDAMAN,OGRABRAJ (DUNDASPOINT)
ANDAMAN & NICOBAR,SOUTH ANDAMAN,PAHARGAON
ANDAMAN & NICOBAR,TRANSPORT DEPT,"TRANSPORT DEPT, A&N ISLANDS"
ANDHRA PRADESH,ANANTAPUR,AGALI
ANDHRA PRADESH,ANANTAPUR,AMADAGURU
ANDHRA PRADESH,ANANTAPUR,AMARAPURAM
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR III TOWN
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR RURAL
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR TOWN 1
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR TOWN 2
ANDHRA PRADESH,ANANTAPUR,ATMAKUR
ANDHRA PRADESH,ANANTAPUR,BATHALAPALLI (M)
ANDHRA PRADESH,ANANTAPUR,BELUGUPPA
ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL
ANDHRA PRADESH,ANANTAPUR,BRAHAMA SAMUDRAM
ANDHRA PRADESH,ANANTAPUR,BUKKAPATNAM
ANDHRA PRADESH,ANANTAPUR,BUKKARAYA SAMUDRAM
ANDHRA PRADESH,ANANTAPUR,CCS ANANTAPUR
ANDHRA PRADESH,ANANTAPUR,CHENNAKOTHAPALLI
ANDHRA PRADESH,ANANTAPUR,CHILMATHUR
ANDHRA PRADESH,ANANTAPUR,DHARMAVARAM URBAN
ANDHRA PRADESH,ANANTAPUR,GANDLAPENTA
ANDHRA PRADESH,ANANTAPUR,GARLADINNE
ANDHRA PRADESH,ANANTAPUR,GOOTY
ANDHRA PRADESH,ANANTAPUR,GORANTALA
ANDHRA PRADESH,ANANTAPUR,GUDIBANDA
